date,ticker_leg1,ticker_leg2,value,spread,year,delivery_date,days_to_delivery
2015-01-08,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.1990005493163984,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,905
2015-01-09,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.2429992675780994,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,904
2016-01-09,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.8309993743897,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,904
2017-01-08,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1169986724852983,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,904
2018-01-09,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.2099999542236013,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,904
2019-01-09,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.438999557495098,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,904
2017-01-09,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1220005035400007,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,903
2018-01-10,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.3490009307861008,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,903
2015-01-10,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.2199993133544993,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,903
2016-01-10,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.8309993743897,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,903
2019-01-10,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4329998016356988,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,903
2019-01-11,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5110000610351975,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,902
2018-01-11,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.2399994964599994,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,902
2016-01-11,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-1.0069999694824006,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,902
2015-01-11,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.2199993133544993,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,902
2017-01-10,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.0995006561279013,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,902
2017-01-11,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.088000488281299,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,901
2019-01-12,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.3980007171631001,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,901
2018-01-12,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1999997253418009,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,901
2016-01-12,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9849996566771999,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,901
2015-01-12,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.2990005493163999,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,901
2017-01-12,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1120002746582003,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,900
2018-01-13,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1519994735718004,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,900
2019-01-13,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.3980007171631001,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,900
2016-01-13,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9230001449585004,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,900
2015-01-13,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.4070007324218992,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,900
2018-01-14,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1519994735718004,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,899
2016-01-14,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9749999999999996,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,899
2019-01-14,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5540004730225014,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,899
2015-01-14,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.6569992065430021,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,899
2017-01-13,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-0.9679996490479006,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,899
2015-01-15,ttf_baseload_q3_2017,ttf_baseload_q4_2017,-1.3820007324219006,ttf_baseload_q3_2017-ttf_baseload_q4_2017,2017,2017-07-01,898
2018-01-15,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.3589992523193004,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,898
